"ZPID","Zestimate","Year Built","Last Sold Date","Last Sold Price","Floors","Basement","Bathrooms","Bedrooms","Finished SQFT","Lot Size SQFT","Home Type","Roof","View","Parking","Heating Sources","Heating System"
"247767469",1047277,"2017","10/20/2017","915000","2","Finished","2.5","2","1680","1374","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"48771165",1738707,"1910","11/09/2017","1530000","2","Finished","4.0","4","3600","5501","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"49137976",1247718,"1924","08/04/2017","1100000","3","Finished","2.0","3","2120","4000","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"48938753",1357923,"1926","11/20/2017","1250000","3","Finished","2.0","3","2340","3689","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"48785476",1592804,"1912","06/16/2017","1400000","2","Finished","2.0","4","3060","3998","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"48785464",2174487,"1907","09/25/2017","1970000","2","Partially finished","5.0","5","4440","3920","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"48785431",1328146,"1919","07/31/2017","1100000","4","Finished","4.0","6","3200","4000","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"48766445",1838037,"1941","08/18/2017","1572500","2","Finished","3.1","5","4050","6098","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"48938761",1829957,"2006","06/22/2017","1599000","2","Finished","4.0","6","3420","4400","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"49137966",1977121,"1909","09/22/2017","1690000","2","Finished","4.0","5","4250","5401","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
