"ZPID","Zestimate","Year Built","Last Sold Date","Last Sold Price","Floors","Basement","Bathrooms","Bedrooms","Finished SQFT","Lot Size SQFT","Home Type","Roof","View","Parking","Heating Sources","Heating System"
"48930431",873673,"1906","06/23/2017","772500","3","Finished","2.0","2","1640","1742","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"2118503465",696962,"1960","06/22/2017","445000","2","Partially finished","1.0","2","637","600","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"61679133",761250,"1928","02/28/2018","735000","4","Finished","1.0","2","1010","710","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"49127337",1838639,"2008","09/07/2017","1660000","2","Finished","4.0","3","3180","2813","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"49127356",823476,"2002","08/15/2017","735000","2","Partially finished","1.1","2","1070","1306","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"62901992",1717340,"2004","06/30/2017","1525000","4","Finished","2.0","4","2290","1911","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"2091082257",1044065,"2017","11/20/2017","1042000","2","Finished","2.0","2","1504","801","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"84756839",972826,"2008","09/28/2017","875000","2","Finished","3.0","3","1700","1267","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"48689873",921225,"1919","04/06/2018","903000","2","Finished","1.0","2","2180","2613","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"70585183",978010,"2008","02/23/2018","961200","3","Finished","3.0","3","1616","871","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"49127336",1776398,"2008","03/16/2018","1712000","3","Finished","3.0","3","3180","2613","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"48842337",1889383,"1921","01/17/2018","1715000","2","Finished","4.0","5","4200","5518","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"241741651",1070571,"2015","02/16/2018","1024000","2","Finished","2.5","3","1710","1474","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"48963698",1411607,"2017","09/19/2017","1479950","2","Finished","3.0","3","2121","1502","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
"48879037",1436207,"1925","01/25/2018","1080000","3","Finished","1.5","4","2270","4004","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"48690025",920145,"1913","12/01/2017","850000","3","Finished","1.0","4","1860","3600","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"50884620",1294546,"1960","11/10/2017","1675000","2","Partially finished","2.0","2","1500","1306","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"48879058",932956,"1928","08/31/2017","839000","4","Finished","2.0","4","1340","5749","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"48820684",1330120,"1924","06/01/2017","1165000","2","Finished","1.5","2","2130","6534","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"48820652",1665105,"1923","08/28/2017","1497000","2","Partially finished","1.75","3","2620","3789","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"241741651",1070571,"2015","02/16/2018","1024000","2","Finished","2.5","3","1710","1474","SingleFamily","Composition","Territorial","Garage - Attached, Off-street","Gas","Forced air"
"49022088",1889605,"1991","06/30/2017","1650000","2","Finished","2.5","2","2095","8445","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"48780991",1281871,"1910","10/11/2017","1091000","3","Finished","2.0","4","2600","3920","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"48690317",1619618,"1924","11/06/2017","1489000","2","Finished","3.0","3","3120","3920","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"49013448",1637746,"1988","05/11/2018","1400000","2","Partially finished","3.0","4","3361","3998","SingleFamily","Composition","Mountain","Garage - Attached","Electric, Oil","Forced air"
"48776068",879123,"1926","09/22/2017","880000","4","Finished","2.0","2","1475","3230","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric, Gas","Radiant"
"49127337",1838639,"2008","09/07/2017","1660000","2","Finished","4.0","3","3180","2813","SingleFamily","Composition","Territorial","Off-street","Gas","Forced air, Radiant"
"61768005",838906,"1928","08/10/2017","750000","3","Finished","1.0","2","1150","871","SingleFamily","Composition","City, Mountain, Water","Garage - Attached","Electric","Forced air, Radiant"
"89208813",989336,"2008","02/23/2018","961200","3","Finished","2.5","3","1300","863","Townhouse","Other","City, Mountain, Water","Garage - Attached","Electric, Gas","Forced air"
"48689958",1056742,"1904","06/28/2017","940000","2","Finished","2.0","3","1190","3600","SingleFamily","Metal","Water","Garage - Attached","Electric, Gas","Forced air"
"48981720",2082752,"1954","01/05/2018","546000","2","Finished","1.5","3","1850","9240","SingleFamily","Asphalt","City, Mountain, Territorial","Garage - Attached","Gas","Forced air"
